PDBID,Experiment Id,Number of Residues
2DX3,00fvd5c1,18
1IYC,0a5g4xrw,36
2N2F,10ggumij,13
1AAJ,n6lajveq,105
5JOJ,995az25d,97
1KJ5,pbfdug7h,36
